sample_id,region_id,region_rank,scanner_id,file_name,image_id,annotation_id,category_id,category_name,bbox,area,polygon_parts,vertex_count,image_width,image_height,correspondence_basis,bbox_x,bbox_y,bbox_width,bbox_height,bbox_center_x,bbox_center_y,bbox_max_side,bbox_area_pixels,fold
scc_01,scc_01__region_0001,1,cs2,scc_01_cs2.tif,1,1,4,Epidermis,"[0.0,2374.0,1953.0,883.0]",92369.5,696,0,3599,4463,within_image_annotation_id_rank,0.0,2374.0,1953.0,883.0,976.5,2815.5,1953.0,1724499.0,3
scc_01,scc_01__region_0001,1,gt450,scc_01_gt450.tif,5,45,4,Epidermis,"[3250.0,3149.0,1883.0,843.0]",85288.0,696,0,7040,5493,within_image_annotation_id_rank,3250.0,3149.0,1883.0,843.0,4191.5,3570.5,1883.0,1587369.0,3
scc_01,scc_01__region_0001,1,nz20,scc_01_nz20.tif,3,23,4,Epidermis,"[3333.0,3645.0,2188.0,979.0]",114980.0,696,0,7424,5952,within_image_annotation_id_rank,3333.0,3645.0,2188.0,979.0,4427.0,4134.5,2188.0,2142052.0,3
scc_01,scc_01__region_0001,1,nz210,scc_01_nz210.tif,4,34,4,Epidermis,"[3473.0,3817.0,2238.0,1004.0]",121226.5,696,0,7680,6512,within_image_annotation_id_rank,3473.0,3817.0,2238.0,1004.0,4592.0,4319.0,2238.0,2246952.0,3
scc_01,scc_01__region_0001,1,p1000,scc_01_p1000.tif,2,12,4,Epidermis,"[2729.0,6599.0,895.0,1987.0]",95659.0,696,0,4482,10859,within_image_annotation_id_rank,2729.0,6599.0,895.0,1987.0,3176.5,7592.5,1987.0,1778365.0,3
scc_01,scc_01__region_0002,2,cs2,scc_01_cs2.tif,1,2,4,Epidermis,"[2002.0,2344.0,375.0,132.0]",13700.0,136,0,3599,4463,within_image_annotation_id_rank,2002.0,2344.0,375.0,132.0,2189.5,2410.0,375.0,49500.0,3
scc_01,scc_01__region_0002,2,gt450,scc_01_gt450.tif,5,46,4,Epidermis,"[5180.0,3122.0,360.0,126.0]",12705.0,136,0,7040,5493,within_image_annotation_id_rank,5180.0,3122.0,360.0,126.0,5360.0,3185.0,360.0,45360.0,3
scc_01,scc_01__region_0002,2,nz20,scc_01_nz20.tif,3,24,4,Epidermis,"[5576.0,3613.0,419.0,146.0]",17054.0,136,0,7424,5952,within_image_annotation_id_rank,5576.0,3613.0,419.0,146.0,5785.5,3686.0,419.0,61174.0,3
scc_01,scc_01__region_0002,2,nz210,scc_01_nz210.tif,4,35,4,Epidermis,"[5768.0,3785.0,429.0,150.0]",18078.5,136,0,7680,6512,within_image_annotation_id_rank,5768.0,3785.0,429.0,150.0,5982.5,3860.0,429.0,64350.0,3
scc_01,scc_01__region_0002,2,p1000,scc_01_p1000.tif,2,13,4,Epidermis,"[2700.0,6168.0,134.0,381.0]",14296.5,136,0,4482,10859,within_image_annotation_id_rank,2700.0,6168.0,134.0,381.0,2767.0,6358.5,381.0,51054.0,3
